tconst,primaryTitle,startYear,the_numbers_url,found_url,normalized_title,kaggle_year,kaggle_title,Production_Countries
tt1855325,Resident Evil: Retribution,2012.0,https://www.the-numbers.com/movie/Resident-Evil-Retribution,True,resident evil retribution,2012,Resident Evil: Retribution,"Canada, Germany, United States of America"
tt1856080,The Boys in the Boat,2023.0,https://www.the-numbers.com/movie/Boys-in-the-Boat-The-(2023),True,the boys in the boat,2023,The Boys in the Boat,United States of America
tt1856101,Blade Runner 2049,2017.0,https://www.the-numbers.com/movie/Blade-Runner-2049,True,blade runner 2049,2017,Blade Runner 2049,"Canada, United Kingdom, United States of America"
tt1859650,To Rome with Love,2012.0,https://www.the-numbers.com/movie/To-Rome-with-Love-(2012),True,to rome with love,2012,To Rome with Love,"Italy, United States of America"
tt1860213,Dirty Grandpa,2016.0,https://www.the-numbers.com/movie/Dirty-Grandpa,True,dirty grandpa,2016,Dirty Grandpa,United States of America
tt1860353,Turbo,2013.0,https://www.the-numbers.com/movie/Turbo,True,turbo,2013,Turbo,United States of America
tt1860357,Deepwater Horizon,2016.0,https://www.the-numbers.com/movie/Deepwater-Horizon,True,deepwater horizon,2016,Deepwater Horizon,"Hong Kong, United States of America"
tt1872181,The Amazing Spider-Man 2,2014.0,https://www.the-numbers.com/movie/Amazing-Spider-Man-2-The,True,the amazing spiderman 2,2014,The Amazing Spider-Man 2,United States of America
tt1872194,The Judge,2014.0,https://www.the-numbers.com/movie/Judge-The,True,the judge,2014,The Judge,United States of America
tt1876451,Sparkle,2012.0,https://www.the-numbers.com/movie/Sparkle-(2012),True,sparkle,2012,Sparkle,United States of America
tt1877830,The Batman,2022.0,https://www.the-numbers.com/movie/Batman,True,the batman,2022,The Batman,United States of America
