tconst,primaryTitle,startYear,the_numbers_url,found_url
tt5813366,Bleeding Steel,2017.0,,False
tt5814060,The Nun,2018.0,https://www.the-numbers.com/movie/Nun-The,True
tt5814534,Spies in Disguise,2019.0,https://www.the-numbers.com/movie/Spies-in-Disguise-(2019),True
tt5816682,Victoria & Abdul,2017.0,https://www.the-numbers.com/movie/Victoria-and-Abdul,True
tt5822536,Paddington in Peru,2024.0,,False
tt5827590,Europe Raiders,2018.0,,False
tt5834426,Moonfall,2022.0,https://www.the-numbers.com/movie/Moonfall-(2022),True
tt5842624,Call of Heroes,2016.0,,False
tt5844488,Ice,2018.0,,False
tt5847286,Shock Wave,2017.0,,False
tt5848272,Ralph Breaks the Internet,2018.0,https://www.the-numbers.com/movie/Ralph-Breaks-the-Internet-(2018),True
tt5866930,The Adventurers,2017.0,,False
tt5867314,The Empty Man,2020.0,https://www.the-numbers.com/movie/Empty-Man-The-(2020),True
tt5884052,Pokémon: Detective Pikachu,2019.0,,False
tt5884796,Plane,2023.0,https://www.the-numbers.com/movie/Plane-(2023),True
tt5884960,Home,2015.0,https://www.the-numbers.com/movie/Home-(2015),True
tt5886046,Escape Room,2019.0,https://www.the-numbers.com/movie/Escape-Room-(2019),True
tt5896962,Line Walker,2016.0,,False
tt5910280,Tunnel,2016.0,,False
tt5912470,Doraemon: Great Adventure in the Antarctic Kachi Kochi,2017.0,,False
tt5918090,I Am Not Madame Bovary,2016.0,,False
tt5935704,Padmaavat,2018.0,,False
tt5956006,Love Off the Cuff,2017.0,,False
tt5956100,Tiger Zinda Hai,2017.0,,False
tt5969696,The Battleship Island,2017.0,,False
tt5970844,Thugs of Hindostan,2018.0,,False
tt5971474,The Little Mermaid,2023.0,https://www.the-numbers.com/movie/Little-Mermaid-The-(2023),True
tt5979556,Better Days,2019.0,,False
tt5982852,Jolly LLB 2,2017.0,https://www.the-numbers.com/movie/Jolly-LLB-2,True
tt5987402,Three Seconds,2017.0,,False
tt5998744,S Storm,2016.0,,False
tt6003368,Diary of a Wimpy Kid: The Long Haul,2017.0,https://www.the-numbers.com/movie/Diary-of-a-Wimpy-Kid-The-Long-Haul,True
tt6015328,Chasing the Dragon,2017.0,,False
tt6044910,Operation Mekong,2016.0,https://www.the-numbers.com/movie/Operation-Mekong,True
tt6054290,Soulmate,2016.0,,False
tt6063050,Acrimony,2018.0,https://www.the-numbers.com/movie/Acrimony,True
tt6074202,I Belonged to You,2016.0,,False
tt6079772,The Protégé,2021.0,https://www.the-numbers.com/movie/Protege-The-(2021),True
tt6091936,Love O2O,2016.0,,False
tt6095472,The Angry Birds Movie 2,2019.0,https://www.the-numbers.com/movie/Angry-Birds-Movie-2-The-(2019),True
tt6101820,Perfect Strangers,2017.0,https://www.the-numbers.com/movie/Perfect-Strangers,True
